mode: atomic
backend-grpc-server/main.go:14.13,17.16 2 0
backend-grpc-server/internal/database/migrations.go:80.46,82.12 2 0
backend-grpc-server/internal/database/migrations.go:86.3,88.22 3 0
backend-grpc-server/internal/database/migrations.go:88.22,90.12 2 0
backend-grpc-server/internal/database/migrations.go:93.3,98.17 5 0
backend-grpc-server/internal/database/migrations.go:98.17,100.4 1 0
backend-grpc-server/internal/database/migrations.go:102.3,111.64 3 0
backend-grpc-server/internal/database/migrations.go:114.2,114.24 1 0
backend-grpc-server/internal/database/migrations.go:118.50,122.50 2 0
backend-grpc-server/internal/database/migrations.go:122.50,124.3 1 0
backend-grpc-server/internal/database/migrations.go:126.2,127.16 2 0
backend-grpc-server/internal/database/migrations.go:127.16,129.3 1 0
backend-grpc-server/internal/database/migrations.go:131.2,131.44 1 0
backend-grpc-server/internal/database/migrations.go:135.80,136.26 1 0
backend-grpc-server/internal/database/migrations.go:136.26,139.3 2 0
backend-grpc-server/internal/database/migrations.go:142.2,142.45 1 0
backend-grpc-server/internal/database/migrations.go:142.45,144.3 1 0
backend-grpc-server/internal/database/migrations.go:146.2,148.39 2 0
backend-grpc-server/internal/database/migrations.go:148.39,150.17 2 0
backend-grpc-server/internal/database/migrations.go:150.17,152.4 1 0
backend-grpc-server/internal/database/migrations.go:154.3,154.14 1 0
backend-grpc-server/internal/database/migrations.go:154.14,156.12 2 0
backend-grpc-server/internal/database/migrations.go:159.3,163.17 3 0
backend-grpc-server/internal/database/migrations.go:163.17,165.4 1 0
backend-grpc-server/internal/database/migrations.go:168.3,168.65 1 0
backend-grpc-server/internal/database/migrations.go:168.65,171.4 2 0
backend-grpc-server/internal/database/migrations.go:174.3,174.110 1 0
backend-grpc-server/internal/database/migrations.go:174.110,177.4 2 0
backend-grpc-server/internal/database/migrations.go:180.3,180.37 1 0
backend-grpc-server/internal/database/migrations.go:180.37,182.4 1 0
backend-grpc-server/internal/database/migrations.go:184.3,184.69 1 0
backend-grpc-server/internal/database/migrations.go:187.2,188.12 2 0
backend-grpc-server/internal/database/migrations.go:192.90,200.29 4 0
backend-grpc-server/internal/database/migrations.go:200.29,203.50 2 0
backend-grpc-server/internal/database/migrations.go:203.50,204.12 1 0
backend-grpc-server/internal/database/migrations.go:206.3,206.40 1 0
backend-grpc-server/internal/database/migrations.go:209.2,209.26 1 0
backend-grpc-server/internal/database/migrations.go:209.26,212.3 2 0
backend-grpc-server/internal/database/migrations.go:215.2,220.45 3 0
backend-grpc-server/internal/database/migrations.go:220.45,222.3 1 0
backend-grpc-server/internal/database/migrations.go:224.2,224.12 1 0
backend-grpc-server/internal/database/migrations.go:228.50,229.22 1 0
backend-grpc-server/internal/database/migrations.go:229.22,231.3 1 0
backend-grpc-server/internal/database/migrations.go:232.2,232.27 1 0
backend-grpc-server/internal/database/migrations.go:236.45,240.2 3 0
backend-grpc-server/internal/database/migrations.go:243.58,245.16 2 0
backend-grpc-server/internal/database/migrations.go:245.16,247.3 1 0
backend-grpc-server/internal/database/migrations.go:248.2,254.18 5 0
backend-grpc-server/internal/database/migrations.go:254.18,256.57 2 0
backend-grpc-server/internal/database/migrations.go:256.57,258.4 1 0
backend-grpc-server/internal/database/migrations.go:259.3,259.45 1 0
backend-grpc-server/internal/database/migrations.go:262.2,262.19 1 0
backend-grpc-server/internal/handlers/notification_handler.go:24.113,34.2 3 6
backend-grpc-server/internal/handlers/notification_handler.go:37.53,39.94 1 6
backend-grpc-server/internal/handlers/notification_handler.go:39.94,41.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:44.2,44.87 1 6
backend-grpc-server/internal/handlers/notification_handler.go:44.87,46.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:49.2,49.94 1 6
backend-grpc-server/internal/handlers/notification_handler.go:49.94,51.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:56.101,58.9 2 0
backend-grpc-server/internal/handlers/notification_handler.go:58.9,63.3 2 0
backend-grpc-server/internal/handlers/notification_handler.go:65.2,76.58 5 0
backend-grpc-server/internal/handlers/notification_handler.go:76.58,81.3 2 0
backend-grpc-server/internal/handlers/notification_handler.go:84.2,85.16 2 0
backend-grpc-server/internal/handlers/notification_handler.go:85.16,90.3 2 0
backend-grpc-server/internal/handlers/notification_handler.go:93.2,95.4 1 0
backend-grpc-server/internal/handlers/notification_handler.go:98.93,100.9 2 0
backend-grpc-server/internal/handlers/notification_handler.go:100.9,105.3 2 0
backend-grpc-server/internal/handlers/notification_handler.go:107.2,108.32 2 0
backend-grpc-server/internal/handlers/notification_handler.go:108.32,113.3 2 0
backend-grpc-server/internal/handlers/notification_handler.go:115.2,116.26 2 0
backend-grpc-server/internal/handlers/notification_handler.go:116.26,118.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:120.2,121.16 2 0
backend-grpc-server/internal/handlers/notification_handler.go:121.16,126.3 2 0
backend-grpc-server/internal/handlers/notification_handler.go:129.2,132.4 1 0
backend-grpc-server/internal/handlers/notification_handler.go:135.101,137.9 2 0
backend-grpc-server/internal/handlers/notification_handler.go:137.9,142.3 2 0
backend-grpc-server/internal/handlers/notification_handler.go:144.2,145.32 2 0
backend-grpc-server/internal/handlers/notification_handler.go:145.32,150.3 2 0
backend-grpc-server/internal/handlers/notification_handler.go:152.2,153.16 2 0
backend-grpc-server/internal/handlers/notification_handler.go:153.16,158.3 2 0
backend-grpc-server/internal/handlers/notification_handler.go:161.2,163.4 1 0
backend-grpc-server/internal/handlers/notification_handler.go:176.9,185.58 2 7
backend-grpc-server/internal/handlers/notification_handler.go:185.58,187.3 1 2
backend-grpc-server/internal/handlers/notification_handler.go:190.2,200.16 2 5
backend-grpc-server/internal/handlers/notification_handler.go:200.16,202.17 2 4
backend-grpc-server/internal/handlers/notification_handler.go:202.17,204.4 1 0
backend-grpc-server/internal/handlers/notification_handler.go:207.3,208.80 2 4
backend-grpc-server/internal/handlers/notification_handler.go:212.2,212.20 1 5
backend-grpc-server/internal/handlers/notification_handler.go:213.13,214.62 1 3
backend-grpc-server/internal/handlers/notification_handler.go:215.14,216.22 1 1
backend-grpc-server/internal/handlers/notification_handler.go:216.22,218.4 1 1
backend-grpc-server/internal/handlers/notification_handler.go:219.10,220.59 1 1
backend-grpc-server/internal/handlers/notification_handler.go:223.2,223.12 1 4
backend-grpc-server/internal/handlers/notification_handler.go:228.98,230.2 1 0
backend-grpc-server/internal/handlers/notification_handler.go:232.113,234.2 1 0
backend-grpc-server/internal/handlers/notification_handler.go:236.150,238.2 1 0
backend-grpc-server/internal/handlers/notification_handler.go:242.146,251.58 2 5
backend-grpc-server/internal/handlers/notification_handler.go:251.58,253.3 1 3
backend-grpc-server/internal/handlers/notification_handler.go:255.2,256.16 2 2
backend-grpc-server/internal/handlers/notification_handler.go:256.16,258.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:261.2,263.21 3 2
backend-grpc-server/internal/handlers/notification_handler.go:263.21,266.3 2 0
backend-grpc-server/internal/handlers/notification_handler.go:268.2,272.8 2 2
backend-grpc-server/internal/handlers/notification_handler.go:276.137,277.17 1 2
backend-grpc-server/internal/handlers/notification_handler.go:277.17,279.3 1 1
backend-grpc-server/internal/handlers/notification_handler.go:281.2,282.13 2 1
backend-grpc-server/internal/handlers/notification_handler.go:282.13,284.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:286.2,288.8 1 1
backend-grpc-server/internal/handlers/notification_handler.go:292.143,294.19 1 3
backend-grpc-server/internal/handlers/notification_handler.go:294.19,296.3 1 1
backend-grpc-server/internal/handlers/notification_handler.go:297.2,297.20 1 2
backend-grpc-server/internal/handlers/notification_handler.go:297.20,299.3 1 1
backend-grpc-server/internal/handlers/notification_handler.go:300.2,300.22 1 1
backend-grpc-server/internal/handlers/notification_handler.go:300.22,302.3 1 1
backend-grpc-server/internal/handlers/notification_handler.go:304.2,312.16 3 0
backend-grpc-server/internal/handlers/notification_handler.go:312.16,314.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:316.2,317.45 2 0
backend-grpc-server/internal/handlers/notification_handler.go:317.45,319.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:321.2,324.8 1 0
backend-grpc-server/internal/handlers/notification_handler.go:328.158,329.17 1 0
backend-grpc-server/internal/handlers/notification_handler.go:329.17,334.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:336.2,336.21 1 0
backend-grpc-server/internal/handlers/notification_handler.go:336.21,341.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:343.2,344.16 2 0
backend-grpc-server/internal/handlers/notification_handler.go:344.16,349.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:352.2,360.8 2 0
backend-grpc-server/internal/handlers/notification_handler.go:364.164,365.17 1 0
backend-grpc-server/internal/handlers/notification_handler.go:365.17,370.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:372.2,372.21 1 0
backend-grpc-server/internal/handlers/notification_handler.go:372.21,377.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:379.2,380.16 2 0
backend-grpc-server/internal/handlers/notification_handler.go:380.16,385.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:388.2,396.8 2 0
backend-grpc-server/internal/handlers/notification_handler.go:400.170,401.21 1 0
backend-grpc-server/internal/handlers/notification_handler.go:401.21,406.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:408.2,409.16 2 0
backend-grpc-server/internal/handlers/notification_handler.go:409.16,414.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:417.2,424.8 2 0
backend-grpc-server/internal/handlers/notification_handler.go:428.146,429.17 1 0
backend-grpc-server/internal/handlers/notification_handler.go:429.17,431.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:433.2,441.23 2 0
backend-grpc-server/internal/handlers/notification_handler.go:441.23,446.63 2 0
backend-grpc-server/internal/handlers/notification_handler.go:446.63,448.4 1 0
backend-grpc-server/internal/handlers/notification_handler.go:451.2,452.16 2 0
backend-grpc-server/internal/handlers/notification_handler.go:452.16,454.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:457.2,466.8 2 0
backend-grpc-server/internal/handlers/notification_handler.go:470.146,471.17 1 0
backend-grpc-server/internal/handlers/notification_handler.go:471.17,476.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:478.2,479.16 2 0
backend-grpc-server/internal/handlers/notification_handler.go:479.16,484.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:487.2,494.8 2 0
backend-grpc-server/internal/handlers/notification_handler.go:498.161,499.21 1 0
backend-grpc-server/internal/handlers/notification_handler.go:499.21,504.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:506.2,507.16 2 0
backend-grpc-server/internal/handlers/notification_handler.go:507.16,512.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:515.2,522.8 2 0
backend-grpc-server/internal/handlers/notification_handler.go:526.152,527.21 1 0
backend-grpc-server/internal/handlers/notification_handler.go:527.21,529.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:531.2,532.16 2 0
backend-grpc-server/internal/handlers/notification_handler.go:532.16,534.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:536.2,541.8 1 0
backend-grpc-server/internal/handlers/notification_handler.go:545.164,554.58 2 0
backend-grpc-server/internal/handlers/notification_handler.go:554.58,559.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:562.2,563.29 2 0
backend-grpc-server/internal/handlers/notification_handler.go:563.29,565.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:568.2,570.21 3 0
backend-grpc-server/internal/handlers/notification_handler.go:570.21,573.3 2 0
backend-grpc-server/internal/handlers/notification_handler.go:575.2,576.16 2 0
backend-grpc-server/internal/handlers/notification_handler.go:576.16,581.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:583.2,586.8 1 0
backend-grpc-server/internal/handlers/notification_handler.go:590.110,592.32 2 3
backend-grpc-server/internal/handlers/notification_handler.go:592.32,594.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:596.2,605.3 1 3
backend-grpc-server/internal/handlers/notification_handler.go:608.46,609.14 1 5
backend-grpc-server/internal/handlers/notification_handler.go:609.14,611.3 1 5
backend-grpc-server/internal/handlers/notification_handler.go:612.2,612.13 1 0
backend-grpc-server/internal/handlers/notification_handler.go:615.59,616.16 1 0
backend-grpc-server/internal/handlers/notification_handler.go:616.16,618.3 1 0
backend-grpc-server/internal/handlers/notification_handler.go:619.2,619.13 1 0
backend-grpc-server/internal/handlers/user_handler.go:23.89,28.2 1 3
backend-grpc-server/internal/handlers/user_handler.go:31.105,32.17 1 2
backend-grpc-server/internal/handlers/user_handler.go:32.17,34.3 1 0
backend-grpc-server/internal/handlers/user_handler.go:36.2,37.13 2 2
backend-grpc-server/internal/handlers/user_handler.go:37.13,39.3 1 1
backend-grpc-server/internal/handlers/user_handler.go:41.2,43.8 1 1
backend-grpc-server/internal/handlers/user_handler.go:47.114,56.58 2 2
backend-grpc-server/internal/handlers/user_handler.go:56.58,58.3 1 0
backend-grpc-server/internal/handlers/user_handler.go:60.2,61.16 2 2
backend-grpc-server/internal/handlers/user_handler.go:61.16,63.3 1 0
backend-grpc-server/internal/handlers/user_handler.go:66.2,90.8 3 2
backend-grpc-server/internal/handlers/user_handler.go:94.114,104.58 2 0
backend-grpc-server/internal/handlers/user_handler.go:104.58,106.3 1 0
backend-grpc-server/internal/handlers/user_handler.go:108.2,109.16 2 0
backend-grpc-server/internal/handlers/user_handler.go:109.16,111.3 1 0
backend-grpc-server/internal/handlers/user_handler.go:114.2,137.8 3 0
backend-grpc-server/internal/handlers/user_handler.go:141.114,142.17 1 0
backend-grpc-server/internal/handlers/user_handler.go:142.17,147.3 1 0
backend-grpc-server/internal/handlers/user_handler.go:150.2,152.12 3 0
backend-grpc-server/internal/handlers/user_handler.go:152.12,154.3 1 0
backend-grpc-server/internal/handlers/user_handler.go:156.2,157.16 2 0
backend-grpc-server/internal/handlers/user_handler.go:157.16,162.3 1 0
backend-grpc-server/internal/handlers/user_handler.go:165.2,171.20 2 0
backend-grpc-server/internal/handlers/user_handler.go:171.20,184.3 1 0
backend-grpc-server/internal/handlers/user_handler.go:186.2,189.8 1 0
backend-grpc-server/internal/handlers/user_handler.go:193.111,200.22 2 0
backend-grpc-server/internal/handlers/user_handler.go:200.22,202.3 1 0
backend-grpc-server/internal/handlers/user_handler.go:203.2,203.23 1 0
backend-grpc-server/internal/handlers/user_handler.go:203.23,205.3 1 0
backend-grpc-server/internal/handlers/user_handler.go:206.2,206.25 1 0
backend-grpc-server/internal/handlers/user_handler.go:206.25,208.3 1 0
backend-grpc-server/internal/handlers/user_handler.go:210.2,211.16 2 0
backend-grpc-server/internal/handlers/user_handler.go:211.16,213.3 1 0
backend-grpc-server/internal/handlers/user_handler.go:215.2,216.29 2 0
backend-grpc-server/internal/handlers/user_handler.go:216.29,218.3 1 0
backend-grpc-server/internal/handlers/user_handler.go:220.2,223.8 1 0
backend-grpc-server/internal/handlers/user_handler.go:227.70,237.2 1 3
backend-grpc-server/internal/handlers/websocket_handler.go:48.40,62.2 3 9
backend-grpc-server/internal/handlers/websocket_handler.go:65.77,70.16 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:70.16,73.3 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:75.2,85.23 4 0
backend-grpc-server/internal/handlers/websocket_handler.go:89.31,92.6 2 9
backend-grpc-server/internal/handlers/websocket_handler.go:92.6,93.10 1 16
backend-grpc-server/internal/handlers/websocket_handler.go:94.31,104.6 5 0
backend-grpc-server/internal/handlers/websocket_handler.go:106.33,108.41 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:108.41,111.5 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:112.4,113.94 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:115.33,116.29 1 7
backend-grpc-server/internal/handlers/websocket_handler.go:122.56,123.15 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:123.15,126.3 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:128.2,129.6 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:129.6,131.17 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:131.17,132.67 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:132.67,134.5 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:135.4,136.10 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:140.3,141.60 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:141.60,143.12 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:147.3,147.37 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:152.57,154.15 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:154.15,157.3 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:159.2,160.6 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:160.6,161.10 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:162.37,163.11 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:163.11,166.5 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:168.4,169.18 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:169.18,171.13 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:174.4,174.86 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:174.86,177.5 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:179.19,181.48 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:181.48,183.5 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:189.86,193.19 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:194.14,199.9 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:201.24,203.43 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:203.43,207.4 3 0
backend-grpc-server/internal/handlers/websocket_handler.go:208.3,208.9 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:210.20,212.45 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:212.45,215.4 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:216.3,216.9 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:218.21,220.45 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:220.45,223.4 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:224.3,224.9 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:228.2,228.53 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:234.101,238.35 3 18
backend-grpc-server/internal/handlers/websocket_handler.go:238.35,240.3 1 18
backend-grpc-server/internal/handlers/websocket_handler.go:241.2,242.55 2 18
backend-grpc-server/internal/handlers/websocket_handler.go:246.100,251.13 4 0
backend-grpc-server/internal/handlers/websocket_handler.go:251.13,254.3 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:256.2,256.35 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:256.35,257.47 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:257.47,258.17 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:258.17,259.33 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:259.33,261.6 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:263.4,263.19 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:271.67,277.9 2 7
backend-grpc-server/internal/handlers/websocket_handler.go:278.30,278.30 0 7
backend-grpc-server/internal/handlers/websocket_handler.go:279.10,280.43 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:285.82,294.35 4 1
backend-grpc-server/internal/handlers/websocket_handler.go:294.35,295.55 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:295.55,297.4 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:302.87,311.35 4 0
backend-grpc-server/internal/handlers/websocket_handler.go:311.35,312.43 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:312.43,314.4 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:319.87,329.12 5 0
backend-grpc-server/internal/handlers/websocket_handler.go:329.12,331.3 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:336.83,337.9 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:338.30,338.30 0 0
backend-grpc-server/internal/handlers/websocket_handler.go:339.10,342.40 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:342.40,345.4 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:346.3,346.24 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:350.63,354.35 3 7
backend-grpc-server/internal/handlers/websocket_handler.go:354.35,356.3 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:359.82,360.38 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:360.38,361.25 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:361.25,363.4 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:365.2,365.50 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:368.87,369.38 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:369.38,370.25 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:370.25,373.4 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:377.86,378.38 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:378.38,379.25 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:379.25,381.4 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:383.2,383.14 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:387.70,392.36 4 0
backend-grpc-server/internal/handlers/websocket_handler.go:392.36,397.27 2 0
backend-grpc-server/internal/handlers/websocket_handler.go:397.27,399.4 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:400.3,400.26 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:402.2,402.15 1 0
backend-grpc-server/internal/handlers/websocket_handler.go:406.36,412.35 4 0
backend-grpc-server/internal/handlers/websocket_handler.go:412.35,415.3 2 0
backend-grpc-server/internal/models/norification.go:65.53,68.2 2 0
backend-grpc-server/internal/models/user.go:40.45,43.2 2 5
backend-grpc-server/internal/models/user.go:45.45,48.2 2 2
backend-grpc-server/internal/server/server.go:34.26,37.16 2 0
backend-grpc-server/internal/server/server.go:37.16,39.3 1 0
backend-grpc-server/internal/server/server.go:42.2,64.51 10 0
backend-grpc-server/internal/server/server.go:64.51,71.43 2 0
backend-grpc-server/internal/server/server.go:71.43,72.26 1 0
backend-grpc-server/internal/server/server.go:72.26,74.6 1 0
backend-grpc-server/internal/server/server.go:76.4,76.43 1 0
backend-grpc-server/internal/server/server.go:79.64,81.4 1 0
backend-grpc-server/internal/server/server.go:84.2,91.3 1 0
backend-grpc-server/internal/server/server.go:95.47,97.16 2 0
backend-grpc-server/internal/server/server.go:97.16,99.3 1 0
backend-grpc-server/internal/server/server.go:101.2,102.32 2 0
backend-grpc-server/internal/server/server.go:106.55,107.59 1 0
backend-grpc-server/internal/server/server.go:107.59,114.30 5 0
backend-grpc-server/internal/server/server.go:114.30,116.4 1 0
backend-grpc-server/internal/server/server.go:119.3,119.32 1 0
backend-grpc-server/internal/server/server.go:119.32,122.4 2 0
backend-grpc-server/internal/server/server.go:124.3,124.87 1 0
backend-grpc-server/internal/server/server.go:124.87,127.4 2 0
backend-grpc-server/internal/server/server.go:130.3,130.27 1 0
backend-grpc-server/internal/server/server.go:135.54,136.59 1 0
